Company Name,Ticker,NSE Symbol
ABB India Ltd.,ABB.NS,NSE:ABB
Adani Power Ltd.,ADANIPOWER.NS,NSE:ADANIPOWER
Aditya Birla Real Estate Ltd.,ABREL.NS,NSE:ABREL
Amara Raja Energy & Mobility Ltd.,ARE&M.NS,NSE:ARE&M
Apar Industries Ltd.,APARINDS.NS,NSE:APARINDS
Aurobindo Pharma Ltd.,AUROPHARMA.NS,NSE:AUROPHARMA
BSE Ltd.,BSE.NS,NSE:BSE
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,NSE:BAJAJ-AUTO
Bharat Dynamics Ltd.,BDL.NS,NSE:BDL
Bharat Electronics Ltd.,BEL.NS,NSE:BEL
Bharat Heavy Electricals Ltd.,BHEL.NS,NSE:BHEL
Central Depository Services (India) Ltd.,CDSL.NS,NSE:CDSL
Cochin Shipyard Ltd.,COCHINSHIP.NS,NSE:COCHINSHIP
Colgate Palmolive (India) Ltd.,COLPAL.NS,NSE:COLPAL
Cummins India Ltd.,CUMMINSIND.NS,NSE:CUMMINSIND
Dixon Technologies (India) Ltd.,DIXON.NS,NSE:DIXON
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,NSE:GLENMARK
Hindustan Aeronautics Ltd.,HAL.NS,NSE:HAL
Hindustan Copper Ltd.,HINDCOPPER.NS,NSE:HINDCOPPER
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,NSE:HINDPETRO
Hitachi Energy India Ltd.,POWERINDIA.NS,NSE:POWERINDIA
Housing & Urban Development Corporation Ltd.,HUDCO.NS,NSE:HUDCO
Indian Railway Finance Corporation Ltd.,IRFC.NS,NSE:IRFC
Indus Towers Ltd.,INDUSTOWER.NS,NSE:INDUSTOWER
Inox Wind Ltd.,INOXWIND.NS,NSE:INOXWIND
Jindal Stainless Ltd.,JSL.NS,NSE:JSL
KEI Industries Ltd.,KEI.NS,NSE:KEI
Kalyan Jewellers India Ltd.,KALYANKJIL.NS,NSE:KALYANKJIL
Lupin Ltd.,LUPIN.NS,NSE:LUPIN
Macrotech Developers Ltd.,LODHA.NS,NSE:LODHA
Multi Commodity Exchange of India Ltd.,MCX.NS,NSE:MCX
NBCC (India) Ltd.,NBCC.NS,NSE:NBCC
NHPC Ltd.,NHPC.NS,NSE:NHPC
Oil India Ltd.,OIL.NS,NSE:OIL
Oracle Financial Services Software Ltd.,OFSS.NS,NSE:OFSS
PB Fintech Ltd.,POLICYBZR.NS,NSE:POLICYBZR
Phoenix Mills Ltd.,PHOENIXLTD.NS,NSE:PHOENIXLTD
Power Finance Corporation Ltd.,PFC.NS,NSE:PFC
Prestige Estates Projects Ltd.,PRESTIGE.NS,NSE:PRESTIGE
REC Ltd.,RECLTD.NS,NSE:RECLTD
Rail Vikas Nigam Ltd.,RVNL.NS,NSE:RVNL
SJVN Ltd.,SJVN.NS,NSE:SJVN
Solar Industries India Ltd.,SOLARINDS.NS,NSE:SOLARINDS
Suzlon Energy Ltd.,SUZLON.NS,NSE:SUZLON
TVS Motor Company Ltd.,TVSMOTOR.NS,NSE:TVSMOTOR
Torrent Power Ltd.,TORNTPOWER.NS,NSE:TORNTPOWER
Trent Ltd.,TRENT.NS,NSE:TRENT
Varun Beverages Ltd.,VBL.NS,NSE:VBL
Zomato Ltd.,ZOMATO.NS,NSE:ZOMATO
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,NSE:ZYDUSLIFE
Adani Green Energy Ltd.,ADANIGREEN.NS,NSE:ADANIGREEN
Bharat Petroleum Corporation Ltd.,BPCL.NS,NSE:BPCL
Bharti Airtel Ltd.,BHARTIARTL.NS,NSE:BHARTIARTL
Bosch Ltd.,BOSCHLTD.NS,NSE:BOSCHLTD
Coal India Ltd.,COALINDIA.NS,NSE:COALINDIA
GAIL (India) Ltd.,GAIL.NS,NSE:GAIL
Hero MotoCorp Ltd.,HEROMOTOCO.NS,NSE:HEROMOTOCO
Indian Oil Corporation Ltd.,IOC.NS,NSE:IOC
InterGlobe Aviation Ltd.,INDIGO.NS,NSE:INDIGO
NTPC Ltd.,NTPC.NS,NSE:NTPC
Samvardhana Motherson International Ltd.,MOTHERSON.NS,NSE:MOTHERSON
Siemens Ltd.,SIEMENS.NS,NSE:SIEMENS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,NSE:SUNPHARMA
Tata Motors Ltd.,TATAMOTORS.NS,NSE:TATAMOTORS
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,NSE:TORNTPHARM
Vedanta Ltd.,VEDL.NS,NSE:VEDL
