Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
