Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
