Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KSB Ltd.,Capital Goods,KSB,EQ,INE999A01023
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
MMTC Ltd.,Services,MMTC,EQ,INE123F01029
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
