Company Name,Ticker,NSE Symbol
ABB India Ltd.,ABB.NS,NSE:ABB
Adani Energy Solutions Ltd.,ADANIENSOL.NS,NSE:ADANIENSOL
Adani Enterprises Ltd.,ADANIENT.NS,NSE:ADANIENT
Adani Green Energy Ltd.,ADANIGREEN.NS,NSE:ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,NSE:ADANIPORTS
Adani Power Ltd.,ADANIPOWER.NS,NSE:ADANIPOWER
Adani Total Gas Ltd.,ATGL.NS,NSE:ATGL
Ambuja Cements Ltd.,AMBUJACEM.NS,NSE:AMBUJACEM
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,NSE:APOLLOHOSP
Asian Paints Ltd.,ASIANPAINT.NS,NSE:ASIANPAINT
Avenue Supermarts Ltd.,DMART.NS,NSE:DMART
Axis Bank Ltd.,AXISBANK.NS,NSE:AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,NSE:BAJAJ-AUTO
Bajaj Finance Ltd.,BAJFINANCE.NS,NSE:BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV.NS,NSE:BAJAJFINSV
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,NSE:BAJAJHLDNG
Bank of Baroda,BANKBARODA.NS,NSE:BANKBARODA
Bharat Electronics Ltd.,BEL.NS,NSE:BEL
Bharat Heavy Electricals Ltd.,BHEL.NS,NSE:BHEL
Bharat Petroleum Corporation Ltd.,BPCL.NS,NSE:BPCL
Bharti Airtel Ltd.,BHARTIARTL.NS,NSE:BHARTIARTL
Bosch Ltd.,BOSCHLTD.NS,NSE:BOSCHLTD
Britannia Industries Ltd.,BRITANNIA.NS,NSE:BRITANNIA
Canara Bank,CANBK.NS,NSE:CANBK
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS,NSE:CHOLAFIN
Cipla Ltd.,CIPLA.NS,NSE:CIPLA
Coal India Ltd.,COALINDIA.NS,NSE:COALINDIA
DLF Ltd.,DLF.NS,NSE:DLF
Dabur India Ltd.,DABUR.NS,NSE:DABUR
Divi's Laboratories Ltd.,DIVISLAB.NS,NSE:DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,NSE:DRREDDY
Eicher Motors Ltd.,EICHERMOT.NS,NSE:EICHERMOT
GAIL (India) Ltd.,GAIL.NS,NSE:GAIL
Godrej Consumer Products Ltd.,GODREJCP.NS,NSE:GODREJCP
Grasim Industries Ltd.,GRASIM.NS,NSE:GRASIM
HCL Technologies Ltd.,HCLTECH.NS,NSE:HCLTECH
