Company Name,Ticker,NSE Symbol
AGI Greenpac Ltd.,AGI.NS,NSE:AGI
ASK Automotive Ltd.,ASKAUTOLTD.NS,NSE:ASKAUTOLTD
Aarti Drugs Ltd.,AARTIDRUGS.NS,NSE:AARTIDRUGS
Aarti Pharmalabs Ltd.,AARTIPHARM.NS,NSE:AARTIPHARM
Advanced Enzyme Tech Ltd.,ADVENZYMES.NS,NSE:ADVENZYMES
Aether Industries Ltd.,AETHER.NS,NSE:AETHER
Ahluwalia Contracts (India) Ltd.,AHLUCONT.NS,NSE:AHLUCONT
Allcargo Logistics Ltd.,ALLCARGO.NS,NSE:ALLCARGO
Ami Organics Ltd.,AMIORG.NS,NSE:AMIORG
Anupam Rasayan India Ltd.,ANURAS.NS,NSE:ANURAS
Apeejay Surrendra Park Hotels Ltd.,PARKHOTELS.NS,NSE:PARKHOTELS
Arvind Fashions Ltd.,ARVINDFASN.NS,NSE:ARVINDFASN
Arvind Ltd.,ARVIND.NS,NSE:ARVIND
Ashoka Buildcon Ltd.,ASHOKA.NS,NSE:ASHOKA
Astra Microwave Products Ltd.,ASTRAMICRO.NS,NSE:ASTRAMICRO
Avalon Technologies Ltd.,AVALON.NS,NSE:AVALON
Azad Engineering Ltd.,AZAD.NS,NSE:AZAD
Bajaj Consumer Care Ltd.,BAJAJCON.NS,NSE:BAJAJCON
Bajaj Electricals Ltd,BAJAJELEC.NS,NSE:BAJAJELEC
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND.NS,NSE:BAJAJHIND
Balmer Lawrie & Co. Ltd.,BALMLAWRIE.NS,NSE:BALMLAWRIE
Banco Products (India) Ltd.,BANCOINDIA.NS,NSE:BANCOINDIA
Bhansali Engineering Polymers Ltd.,BEPL.NS,NSE:BEPL
Bharat Bijlee Ltd.,BBL.NS,NSE:BBL
Blue Jet Healthcare Ltd.,BLUEJET.NS,NSE:BLUEJET
Bombay Dyeing & Manufacturing Co. Ltd.,BOMDYEING.NS,NSE:BOMDYEING
Borosil Ltd.,BOROLTD.NS,NSE:BOROLTD
Borosil Renewables Ltd.,BORORENEW.NS,NSE:BORORENEW
CMS Info Systems Ltd.,CMSINFO.NS,NSE:CMSINFO
CSB Bank Ltd.,CSBBANK.NS,NSE:CSBBANK
Cartrade Tech Ltd.,CARTRADE.NS,NSE:CARTRADE
Choice International Ltd.,CHOICEIN.NS,NSE:CHOICEIN
Cigniti Technologies Ltd.,CIGNITITEC.NS,NSE:CIGNITITEC
Confidence Petroleum India Ltd.,CONFIPET.NS,NSE:CONFIPET
Cyient DLM Ltd.,CYIENTDLM.NS,NSE:CYIENTDLM
DCB Bank Ltd.,DCBBANK.NS,NSE:DCBBANK
DCM Shriram Ltd.,DCMSHRIRAM.NS,NSE:DCMSHRIRAM
DCX Systems Ltd.,DCXINDIA.NS,NSE:DCXINDIA
Datamatics Global Services Ltd.,DATAMATICS.NS,NSE:DATAMATICS
Delta Corp Ltd.,DELTACORP.NS,NSE:DELTACORP
Den Networks Ltd.,DEN.NS,NSE:DEN
Dhani Services Ltd.,DHANI.NS,NSE:DHANI
Dhanuka Agritech Ltd.,DHANUKA.NS,NSE:DHANUKA
Dilip Buildcon Ltd.,DBL.NS,NSE:DBL
Dish TV India Ltd.,DISHTV.NS,NSE:DISHTV
Dishman Carbogen Amcis Ltd.,DCAL.NS,NSE:DCAL
Dodla Dairy Ltd.,DODLA.NS,NSE:DODLA
Dreamfolks Services Ltd.,DREAMFOLKS.NS,NSE:DREAMFOLKS
Dynamatic Technologies Ltd.,DYNAMATECH.NS,NSE:DYNAMATECH
EPL Ltd.,EPL.NS,NSE:EPL
ESAF Small Finance Bank Ltd.,ESAFSFB.NS,NSE:ESAFSFB
Edelweiss Financial Services Ltd.,EDELWEISS.NS,NSE:EDELWEISS
Electronics Mart India Ltd.,EMIL.NS,NSE:EMIL
Electrosteel Castings Ltd.,ELECTCAST.NS,NSE:ELECTCAST
Entero Healthcare Solutions Ltd.,ENTERO.NS,NSE:ENTERO
Epigral Ltd.,EPIGRAL.NS,NSE:EPIGRAL
Equinox India Developments Ltd.,EMBDL.NS,NSE:EMBDL
Ethos Ltd.,ETHOSLTD.NS,NSE:ETHOSLTD
Eveready Industries India Ltd.,EVEREADY.NS,NSE:EVEREADY
FDC Ltd.,FDC.NS,NSE:FDC
Fiem Industries Ltd,FIEMIND.NS,NSE:FIEMIND
Fineotex Chemical Ltd.,FCL.NS,NSE:FCL
Force Motors Ltd.,FORCEMOT.NS,NSE:FORCEMOT
Fusion Finance Ltd.,FUSION.NS,NSE:FUSION
GHCL Ltd.,GHCL.NS,NSE:GHCL
GMM Pfaudler Ltd.,GMMPFAUDLR.NS,NSE:GMMPFAUDLR
Gabriel India Ltd.,GABRIEL.NS,NSE:GABRIEL
Ganesh Housing Corporation Ltd.,GANESHHOUC.NS,NSE:GANESHHOUC
Garware Hi-Tech Films Ltd.,GRWRHITECH.NS,NSE:GRWRHITECH
Gateway Distriparks Ltd.,GATEWAY.NS,NSE:GATEWAY
Glenmark Life Sciences Ltd.,GLS.NS,NSE:GLS
Go Fashion (India) Ltd.,GOCOLORS.NS,NSE:GOCOLORS
Gokaldas Exports Ltd.,GOKEX.NS,NSE:GOKEX
Gopal Snacks Ltd.,GOPAL.NS,NSE:GOPAL
Gravita India Ltd.,GRAVITA.NS,NSE:GRAVITA
Greaves Cotton Ltd.,GREAVESCOT.NS,NSE:GREAVESCOT
Greenpanel Industries Ltd.,GREENPANEL.NS,NSE:GREENPANEL
Greenply Industries Ltd.,GREENPLY.NS,NSE:GREENPLY
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI.NS,NSE:GUJALKALI
Gulf Oil Lubricants India Ltd.,GULFOILLUB.NS,NSE:GULFOILLUB
H.G. Infra Engineering Ltd.,HGINFRA.NS,NSE:HGINFRA
Happy Forgings Ltd.,HAPPYFORGE.NS,NSE:HAPPYFORGE
Harsha Engineers International Ltd.,HARSHA.NS,NSE:HARSHA
Hathway Cable & Datacom Ltd.,HATHWAY.NS,NSE:HATHWAY
Healthcare Global Enterprises Ltd.,HCG.NS,NSE:HCG
HeidelbergCement India Ltd.,HEIDELBERG.NS,NSE:HEIDELBERG
Hemisphere Properties India Ltd.,HEMIPROP.NS,NSE:HEMIPROP
Heritage Foods Ltd.,HERITGFOOD.NS,NSE:HERITGFOOD
Hikal Ltd.,HIKAL.NS,NSE:HIKAL
Hindustan Construction Co. Ltd.,HCC.NS,NSE:HCC
Hindustan Foods Ltd.,HNDFDS.NS,NSE:HNDFDS
Hindustan Oil Exploration Co. Ltd.,HINDOILEXP.NS,NSE:HINDOILEXP
Hindware Home Innovation Ltd.,HINDWAREAP.NS,NSE:HINDWAREAP
IFB Industries Ltd.,IFBIND.NS,NSE:IFBIND
IIFL Securities Ltd.,IIFLSEC.NS,NSE:IIFLSEC
ITD Cementation India Ltd.,ITDCEM.NS,NSE:ITDCEM
Ideaforge Technology Ltd.,IDEAFORGE.NS,NSE:IDEAFORGE
Imagicaaworld Entertainment Ltd.,IMAGICAA.NS,NSE:IMAGICAA
India Glycols Ltd.,INDIAGLYCO.NS,NSE:INDIAGLYCO
India Pesticides Ltd.,IPL.NS,NSE:IPL
India Shelter Finance Corporation Ltd.,INDIASHLTR.NS,NSE:INDIASHLTR
Indian Metals & Ferro Alloys Ltd.,IMFA.NS,NSE:IMFA
Indigo Paints Ltd.,INDIGOPNTS.NS,NSE:INDIGOPNTS
Indo Count Industries Ltd.,ICIL.NS,NSE:ICIL
Infibeam Avenues Ltd.,INFIBEAM.NS,NSE:INFIBEAM
Ingersoll Rand (India) Ltd.,INGERRAND.NS,NSE:INGERRAND
Inox Green Energy Services Ltd.,INOXGREEN.NS,NSE:INOXGREEN
Ion Exchange (India) Ltd.,IONEXCHANG.NS,NSE:IONEXCHANG
Isgec Heavy Engineering Ltd.,ISGEC.NS,NSE:ISGEC
J.Kumar Infraprojects Ltd.,JKIL.NS,NSE:JKIL
JK Paper Ltd.,JKPAPER.NS,NSE:JKPAPER
JTEKT India Ltd.,JTEKTINDIA.NS,NSE:JTEKTINDIA
JTL Industries Ltd.,JTLIND.NS,NSE:JTLIND
Jai Balaji Industries Ltd.,JAIBALAJI.NS,NSE:JAIBALAJI
Jai Corp Ltd.,JAICORPLTD.NS,NSE:JAICORPLTD
Jain Irrigation Systems Ltd.,JISLJALEQS.NS,NSE:JISLJALEQS
Jamna Auto Industries Ltd.,JAMNAAUTO.NS,NSE:JAMNAAUTO
Jana Small Finance Bank Ltd.,JSFB.NS,NSE:JSFB
Jindal Worldwide Ltd.,JINDWORLD.NS,NSE:JINDWORLD
Johnson Controls - Hitachi Air Conditioning India Ltd.,JCHAC.NS,NSE:JCHAC
Juniper Hotels Ltd.,JUNIPER.NS,NSE:JUNIPER
Jupiter Life Line Hospitals Ltd.,JLHL.NS,NSE:JLHL
KRBL Ltd.,KRBL.NS,NSE:KRBL
Kalyani Steels Ltd.,KSL.NS,NSE:KSL
Karnataka Bank Ltd.,KTKBANK.NS,NSE:KTKBANK
Kaveri Seed Company Ltd.,KSCL.NS,NSE:KSCL
Kesoram Industries Ltd.,KESORAMIND.NS,NSE:KESORAMIND
Kirloskar Pneumatic Company Ltd.,KIRLPNU.NS,NSE:KIRLPNU
Kolte-Patil Developers Ltd.,KOLTEPATIL.NS,NSE:KOLTEPATIL
LMW Ltd.,LMW.NS,NSE:LMW
LT Foods Ltd.,LTFOODS.NS,NSE:LTFOODS
Landmark Cars Ltd.,LANDMARK.NS,NSE:LANDMARK
Laxmi Organic Industries Ltd.,LXCHEM.NS,NSE:LXCHEM
Le Travenues Technology Ltd.,IXIGO.NS,NSE:IXIGO
Lloyds Engineering Works Ltd.,LLOYDSENGG.NS,NSE:LLOYDSENGG
Lux Industries Ltd.,LUXIND.NS,NSE:LUXIND
MOIL Ltd.,MOIL.NS,NSE:MOIL
MSTC Ltd.,MSTCLTD.NS,NSE:MSTCLTD
MTAR Technologies Ltd.,MTARTECH.NS,NSE:MTARTECH
Mahindra Holidays & Resorts India Ltd.,MHRIL.NS,NSE:MHRIL
Mahindra Logistics Ltd.,MAHLOG.NS,NSE:MAHLOG
Maithan Alloys Ltd.,MAITHANALL.NS,NSE:MAITHANALL
Man Infraconstruction Ltd.,MANINFRA.NS,NSE:MANINFRA
Marksans Pharma Ltd.,MARKSANS.NS,NSE:MARKSANS
Medplus Health Services Ltd.,MEDPLUS.NS,NSE:MEDPLUS
Mishra Dhatu Nigam Ltd.,MIDHANI.NS,NSE:MIDHANI
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD.NS,NSE:BECTORFOOD
Muthoot Microfin Ltd.,MUTHOOTMF.NS,NSE:MUTHOOTMF
NEOGEN CHEMICALS LTD.,NEOGEN.NS,NSE:NEOGEN
NESCO Ltd.,NESCO.NS,NSE:NESCO
NIIT Learning Systems Ltd.,NIITMTS.NS,NSE:NIITMTS
NOCIL Ltd.,NOCIL.NS,NSE:NOCIL
NRB Bearings Ltd.,NRBBEARING.NS,NSE:NRBBEARING
National Fertilizers Ltd.,NFL.NS,NSE:NFL
Nava Ltd.,NAVA.NS,NSE:NAVA
Nazara Technologies Ltd.,NAZARA.NS,NSE:NAZARA
Neuland Laboratories Ltd.,NEULANDLAB.NS,NSE:NEULANDLAB
Optiemus Infracom Ltd.,OPTIEMUS.NS,NSE:OPTIEMUS
Orchid Pharma Ltd.,ORCHPHARMA.NS,NSE:ORCHPHARMA
Orient Cement Ltd.,ORIENTCEM.NS,NSE:ORIENTCEM
Orient Electric Ltd.,ORIENTELEC.NS,NSE:ORIENTELEC
Orissa Min Dev Co Ltd.,ORISSAMINE.NS,NSE:ORISSAMINE
PG Electroplast Ltd.,PGEL.NS,NSE:PGEL
PTC India Ltd.,PTC.NS,NSE:PTC
Paisalo Digital Ltd.,PAISALO.NS,NSE:PAISALO
Paradeep Phosphates Ltd.,PARADEEP.NS,NSE:PARADEEP
Paras Defence and Space Technologies Ltd.,PARAS.NS,NSE:PARAS
Patel Engineering Ltd.,PATELENG.NS,NSE:PATELENG
Polyplex Corporation Ltd.,POLYPLEX.NS,NSE:POLYPLEX
Power Mech Projects Ltd.,POWERMECH.NS,NSE:POWERMECH
Pricol Ltd.,PRICOLLTD.NS,NSE:PRICOLLTD
Prince Pipes and Fittings Ltd.,PRINCEPIPE.NS,NSE:PRINCEPIPE
Procter & Gamble Health Ltd.,PGHL.NS,NSE:PGHL
Prudent Corporate Advisory Services Ltd.,PRUDENT.NS,NSE:PRUDENT
Puravankara Ltd.,PURVA.NS,NSE:PURVA
Rain Industries Ltd,RAIN.NS,NSE:RAIN
Rallis India Ltd.,RALLIS.NS,NSE:RALLIS
Ramky Infra Ltd.,RAMKY.NS,NSE:RAMKY
Rategain Travel Technologies Ltd.,RATEGAIN.NS,NSE:RATEGAIN
Redtape Ltd.,REDTAPE.NS,NSE:REDTAPE
Reliance Infrastructure Ltd.,RELINFRA.NS,NSE:RELINFRA
Religare Enterprises Ltd.,RELIGARE.NS,NSE:RELIGARE
Responsive Industries Ltd.,RESPONIND.NS,NSE:RESPONIND
Restaurant Brands Asia Ltd.,RBA.NS,NSE:RBA
Rolex Rings Ltd.,ROLEXRINGS.NS,NSE:ROLEXRINGS
Rossari Biotech Ltd.,ROSSARI.NS,NSE:ROSSARI
Safari Industries (India) Ltd.,SAFARI.NS,NSE:SAFARI
Sai Silks (Kalamandir) Ltd.,KALAMANDIR.NS,NSE:KALAMANDIR
Samhi Hotels Ltd.,SAMHI.NS,NSE:SAMHI
Sandur Manganese & Iron Ores Ltd.,SANDUMA.NS,NSE:SANDUMA
Sanghi Industries Ltd.,SANGHIIND.NS,NSE:SANGHIIND
Sanghvi Movers Ltd.,SANGHVIMOV.NS,NSE:SANGHVIMOV
Sansera Engineering Ltd.,SANSERA.NS,NSE:SANSERA
Sarda Energy and Minerals Ltd.,SARDAEN.NS,NSE:SARDAEN
Senco Gold Ltd.,SENCO.NS,NSE:SENCO
Sequent Scientific Ltd.,SEQUENT.NS,NSE:SEQUENT
Sharda Motor Industries Ltd.,SHARDAMOTR.NS,NSE:SHARDAMOTR
Share India Securities Ltd.,SHAREINDIA.NS,NSE:SHAREINDIA
Sheela Foam Ltd.,SFL.NS,NSE:SFL
Shilpa Medicare Ltd.,SHILPAMED.NS,NSE:SHILPAMED
Shivalik Bimetal Controls Ltd.,SBCL.NS,NSE:SBCL
Shriram Pistons & Rings Ltd.,SHRIPISTON.NS,NSE:SHRIPISTON
Sindhu Trade Links Ltd.,SINDHUTRAD.NS,NSE:SINDHUTRAD
South Indian Bank Ltd.,SOUTHBANK.NS,NSE:SOUTHBANK
Spandana Sphoorty Financial Ltd.,SPANDANA.NS,NSE:SPANDANA
Star Cement Ltd.,STARCEMENT.NS,NSE:STARCEMENT
Steel Strips Wheels Ltd.,SSWL.NS,NSE:SSWL
Sterlite Technologies Ltd.,STLTECH.NS,NSE:STLTECH
Strides Pharma Science Ltd.,STAR.NS,NSE:STAR
Stylam Industries Ltd.,STYLAMIND.NS,NSE:STYLAMIND
Subros Ltd.,SUBROS.NS,NSE:SUBROS
Sudarshan Chemical Industries Ltd.,SUDARSCHEM.NS,NSE:SUDARSCHEM
Sula Vineyards Ltd.,SULA.NS,NSE:SULA
Sunflag Iron & Steel Company Ltd.,SUNFLAG.NS,NSE:SUNFLAG
Sunteck Realty Ltd.,SUNTECK.NS,NSE:SUNTECK
Suprajit Engineering Ltd.,SUPRAJIT.NS,NSE:SUPRAJIT
Supreme Petrochem Ltd.,SPLPETRO.NS,NSE:SPLPETRO
Supriya Lifescience Ltd.,SUPRIYA.NS,NSE:SUPRIYA
Surya Roshni Ltd.,SURYAROSNI.NS,NSE:SURYAROSNI
Symphony Ltd.,SYMPHONY.NS,NSE:SYMPHONY
TARC Ltd.,TARC.NS,NSE:TARC
TCI Express Ltd.,TCIEXP.NS,NSE:TCIEXP
TD Power Systems Ltd.,TDPOWERSYS.NS,NSE:TDPOWERSYS
Teamlease Services Ltd.,TEAMLEASE.NS,NSE:TEAMLEASE
Technocraft Industries (India) Ltd.,TIIL.NS,NSE:TIIL
Tega Industries Ltd.,TEGA.NS,NSE:TEGA
Texmaco Rail & Eng. Ltd.,TEXRAIL.NS,NSE:TEXRAIL
Thirumalai Chemicals Ltd.,TIRUMALCHM.NS,NSE:TIRUMALCHM
Thomas Cook (India) Ltd.,THOMASCOOK.NS,NSE:THOMASCOOK
Tilaknagar Industries Ltd.,TI.NS,NSE:TI
Time Technoplast Ltd.,TIMETECHNO.NS,NSE:TIMETECHNO
Tips Music Ltd.,TIPSMUSIC.NS,NSE:TIPSMUSIC
Utkarsh Small Finance Bank Ltd.,UTKARSHBNK.NS,NSE:UTKARSHBNK
V-Mart Retail Ltd.,VMART.NS,NSE:VMART
VST Industries Ltd.,VSTIND.NS,NSE:VSTIND
Va Tech Wabag Ltd.,WABAG.NS,NSE:WABAG
Vaibhav Global Ltd.,VAIBHAVGBL.NS,NSE:VAIBHAVGBL
Veedol Corporation Ltd.,VEEDOL.NS,NSE:VEEDOL
Venky's (India) Ltd.,VENKEYS.NS,NSE:VENKEYS
Venus Pipes & Tubes Ltd.,VENUSPIPES.NS,NSE:VENUSPIPES
Vesuvius India Ltd.,VESUVIUS.NS,NSE:VESUVIUS
Voltamp Transformers Ltd,VOLTAMP.NS,NSE:VOLTAMP
Welspun Enterprises Ltd.,WELENT.NS,NSE:WELENT
West Coast Paper Mills Ltd.,WSTCSTPAPR.NS,NSE:WSTCSTPAPR
Wockhardt Ltd.,WOCKPHARMA.NS,NSE:WOCKPHARMA
Wonderla Holidays Ltd.,WONDERLA.NS,NSE:WONDERLA
Yatharth Hospital & Trauma Care Services Ltd.,YATHARTH.NS,NSE:YATHARTH
Zen Technologies Ltd.,ZENTEC.NS,NSE:ZENTEC
Zydus Wellness Ltd.,ZYDUSWELL.NS,NSE:ZYDUSWELL
eMudhra Ltd.,EMUDHRA.NS,NSE:EMUDHRA
