Company Name,Ticker,NSE Symbol
3M India Ltd.,3MINDIA.NS,NSE:3MINDIA
ACC Ltd.,ACC.NS,NSE:ACC
AIA Engineering Ltd.,AIAENG.NS,NSE:AIAENG
APL Apollo Tubes Ltd.,APLAPOLLO.NS,NSE:APLAPOLLO
AU Small Finance Bank Ltd.,AUBANK.NS,NSE:AUBANK
Abbott India Ltd.,ABBOTINDIA.NS,NSE:ABBOTINDIA
Adani Wilmar Ltd.,AWL.NS,NSE:AWL
Aditya Birla Capital Ltd.,ABCAPITAL.NS,NSE:ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,NSE:ABFRL
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS,NSE:AJANTPHARM
Alkem Laboratories Ltd.,ALKEM.NS,NSE:ALKEM
Apollo Tyres Ltd.,APOLLOTYRE.NS,NSE:APOLLOTYRE
Ashok Leyland Ltd.,ASHOKLEY.NS,NSE:ASHOKLEY
Astral Ltd.,ASTRAL.NS,NSE:ASTRAL
Aurobindo Pharma Ltd.,AUROPHARMA.NS,NSE:AUROPHARMA
BSE Ltd.,BSE.NS,NSE:BSE
Balkrishna Industries Ltd.,BALKRISIND.NS,NSE:BALKRISIND
Bandhan Bank Ltd.,BANDHANBNK.NS,NSE:BANDHANBNK
Bank of India,BANKINDIA.NS,NSE:BANKINDIA
Bank of Maharashtra,MAHABANK.NS,NSE:MAHABANK
Bayer Cropscience Ltd.,BAYERCROP.NS,NSE:BAYERCROP
Berger Paints India Ltd.,BERGEPAINT.NS,NSE:BERGEPAINT
Bharat Dynamics Ltd.,BDL.NS,NSE:BDL
Bharat Forge Ltd.,BHARATFORG.NS,NSE:BHARATFORG
Bharti Hexacom Ltd.,BHARTIHEXA.NS,NSE:BHARTIHEXA
Biocon Ltd.,BIOCON.NS,NSE:BIOCON
CG Power and Industrial Solutions Ltd.,CGPOWER.NS,NSE:CGPOWER
CRISIL Ltd.,CRISIL.NS,NSE:CRISIL
Carborundum Universal Ltd.,CARBORUNIV.NS,NSE:CARBORUNIV
Cochin Shipyard Ltd.,COCHINSHIP.NS,NSE:COCHINSHIP
Coforge Ltd.,COFORGE.NS,NSE:COFORGE
Colgate Palmolive (India) Ltd.,COLPAL.NS,NSE:COLPAL
Container Corporation of India Ltd.,CONCOR.NS,NSE:CONCOR
Coromandel International Ltd.,COROMANDEL.NS,NSE:COROMANDEL
Cummins India Ltd.,CUMMINSIND.NS,NSE:CUMMINSIND
Dalmia Bharat Ltd.,DALBHARAT.NS,NSE:DALBHARAT
