Company Name,Ticker,NSE Symbol
ABB India Ltd.,ABB.NS,NSE:ABB
Adani Green Energy Ltd.,ADANIGREEN.NS,NSE:ADANIGREEN
Adani Power Ltd.,ADANIPOWER.NS,NSE:ADANIPOWER
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,NSE:BAJAJ-AUTO
Bharat Electronics Ltd.,BEL.NS,NSE:BEL
Bharat Heavy Electricals Ltd.,BHEL.NS,NSE:BHEL
Bharat Petroleum Corporation Ltd.,BPCL.NS,NSE:BPCL
Bharti Airtel Ltd.,BHARTIARTL.NS,NSE:BHARTIARTL
Bosch Ltd.,BOSCHLTD.NS,NSE:BOSCHLTD
Coal India Ltd.,COALINDIA.NS,NSE:COALINDIA
GAIL (India) Ltd.,GAIL.NS,NSE:GAIL
Hero MotoCorp Ltd.,HEROMOTOCO.NS,NSE:HEROMOTOCO
Hindustan Aeronautics Ltd.,HAL.NS,NSE:HAL
Indian Oil Corporation Ltd.,IOC.NS,NSE:IOC
Indian Railway Finance Corporation Ltd.,IRFC.NS,NSE:IRFC
InterGlobe Aviation Ltd.,INDIGO.NS,NSE:INDIGO
NTPC Ltd.,NTPC.NS,NSE:NTPC
Power Finance Corporation Ltd.,PFC.NS,NSE:PFC
REC Ltd.,RECLTD.NS,NSE:RECLTD
Samvardhana Motherson International Ltd.,MOTHERSON.NS,NSE:MOTHERSON
Siemens Ltd.,SIEMENS.NS,NSE:SIEMENS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,NSE:SUNPHARMA
TVS Motor Company Ltd.,TVSMOTOR.NS,NSE:TVSMOTOR
Tata Motors Ltd.,TATAMOTORS.NS,NSE:TATAMOTORS
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,NSE:TORNTPHARM
Trent Ltd.,TRENT.NS,NSE:TRENT
Varun Beverages Ltd.,VBL.NS,NSE:VBL
Vedanta Ltd.,VEDL.NS,NSE:VEDL
Zomato Ltd.,ZOMATO.NS,NSE:ZOMATO
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,NSE:ZYDUSLIFE
