"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2024","23,642.55","23,587.60","23,990.15","23,587.60","0.00K","0.74%"
"11/18/2024","23,469.85","23,679.05","23,739.20","23,217.35","0.00K","-0.66%"
"11/14/2024","23,626.50","23,460.15","23,884.15","23,457.75","","0.99%"
"11/13/2024","23,394.75","24,059.00","24,109.05","23,352.70","","-3.10%"
"11/12/2024","24,142.15","24,535.30","24,666.90","24,104.00","","-1.28%"
"11/11/2024","24,454.40","24,756.80","24,757.90","24,439.85","","-1.39%"
"11/08/2024","24,799.45","25,244.50","25,262.85","24,756.65","","-1.62%"
"11/07/2024","25,206.70","25,394.70","25,513.95","25,173.40","","-0.49%"
"11/06/2024","25,331.45","24,982.85","25,362.20","24,939.15","","2.01%"
"11/05/2024","24,833.10","24,595.00","24,883.15","24,571.55","","0.61%"
"11/04/2024","24,681.90","25,183.30","25,193.75","24,502.60","","-1.84%"
"11/01/2024","25,145.25","25,085.85","25,193.70","25,076.95","","1.17%"
"10/31/2024","24,854.60","24,390.80","24,914.75","24,327.00","","2.14%"
"10/30/2024","24,332.80","23,999.10","24,446.80","23,962.25","","1.95%"
"10/29/2024","23,867.50","23,825.05","23,905.50","23,572.75","","0.42%"
"10/28/2024","23,767.15","23,492.25","23,834.85","23,195.65","","1.38%"
"10/25/2024","23,443.90","24,060.65","24,105.90","23,223.25","","-2.38%"
"10/24/2024","24,014.35","24,344.75","24,398.50","23,996.85","","-1.10%"
"10/23/2024","24,280.50","23,989.30","24,488.75","23,670.95","","1.13%"
"10/22/2024","24,009.10","25,035.55","25,062.55","23,952.45","","-4.14%"
"10/21/2024","25,046.80","25,640.35","25,664.25","25,004.00","","-1.94%"
"10/18/2024","25,541.50","25,499.20","25,575.65","25,022.10","","-0.27%"
"10/17/2024","25,611.60","26,055.35","26,066.45","25,580.30","","-1.45%"
"10/16/2024","25,989.45","25,820.60","26,027.30","25,740.55","","0.76%"
"10/15/2024","25,793.45","25,647.70","25,815.10","25,584.20","","0.95%"
"10/14/2024","25,550.45","25,655.25","25,690.85","25,462.60","","0.12%"
"10/11/2024","25,519.20","25,363.85","25,540.20","25,277.35","","0.76%"
"10/10/2024","25,327.60","25,335.75","25,448.20","25,310.20","","0.51%"
"10/09/2024","25,198.30","25,031.70","25,356.60","25,029.15","","1.29%"
"10/08/2024","24,878.40","24,113.95","24,932.65","23,980.65","","2.87%"
"10/07/2024","24,185.45","25,255.10","25,328.10","24,051.10","","-3.84%"
"10/04/2024","25,151.95","25,399.85","25,526.95","24,863.70","","-0.96%"
"10/03/2024","25,396.20","25,541.15","25,779.65","25,336.45","","-1.80%"
"10/01/2024","25,862.45","25,778.05","25,886.50","25,743.90","","0.57%"
"09/30/2024","25,715.20","25,769.40","25,805.65","25,525.65","","-0.17%"
"09/27/2024","25,759.75","25,837.55","25,886.75","25,734.95","","0.24%"
"09/26/2024","25,698.40","25,861.95","25,876.15","25,649.95","","-0.39%"
"09/25/2024","25,798.30","25,934.80","25,976.95","25,746.90","","-0.17%"
"09/24/2024","25,843.45","25,898.25","25,945.00","25,787.90","","0.15%"
"09/23/2024","25,804.05","25,731.80","25,837.20","25,668.40","","0.83%"
"09/20/2024","25,591.70","25,340.95","25,669.45","25,253.60","","1.62%"
"09/19/2024","25,183.60","25,665.70","25,714.45","24,866.10","","-1.28%"
"09/18/2024","25,510.20","25,714.35","25,747.90","25,407.95","","-0.47%"
"09/17/2024","25,631.30","25,635.60","25,662.30","25,416.45","","0.37%"
"09/16/2024","25,537.40","25,605.05","25,629.50","25,471.95","","0.42%"
"09/13/2024","25,429.45","25,241.30","25,457.20","25,222.40","","1.20%"
"09/12/2024","25,127.00","25,078.20","25,140.95","24,992.35","","0.75%"
"09/11/2024","24,940.85","25,314.25","25,329.15","24,927.00","","-1.07%"
"09/10/2024","25,209.85","24,943.55","25,242.80","24,938.80","","1.72%"
