"Date","Price","Open","High","Low","Vol.","Change %"
"19-11-2024","20,190.25","20,146.05","20,428.85","20,146.05","0.00K","0.61%"
"18-11-2024","20,068.55","20,181.80","20,213.90","19,936.85","0.00K","-0.18%"
"14-11-2024","20,105.25","20,033.45","20,247.20","20,030.40","","0.47%"
"13-11-2024","20,010.75","20,478.70","20,506.70","19,955.75","","-2.67%"
"12-11-2024","20,560.60","20,825.25","20,935.45","20,507.40","","-0.91%"
"11-11-2024","20,749.95","20,871.00","20,923.75","20,714.45","","-0.81%"
"08-11-2024","20,919.90","21,229.85","21,235.00","20,870.15","","-1.30%"
"07-11-2024","21,194.85","21,388.15","21,434.75","21,173.45","","-0.49%"
"06-11-2024","21,298.50","20,972.90","21,324.20","20,945.90","","2.09%"
"05-11-2024","20,862.10","20,737.20","20,882.75","20,563.70","","0.46%"
"04-11-2024","20,767.40","21,042.40","21,042.40","20,663.45","","-1.21%"
"01-11-2024","21,021.10","21,014.75","21,077.60","20,993.00","","0.69%"
"31-10-2024","20,876.70","20,919.35","20,942.55","20,750.35","","-0.19%"
"30-10-2024","20,916.70","20,836.90","21,067.60","20,773.30","","0.24%"
"29-10-2024","20,867.40","20,779.95","20,888.80","20,516.85","","0.83%"
"28-10-2024","20,695.55","20,575.75","20,773.95","20,472.20","","0.64%"
"25-10-2024","20,563.70","20,983.85","20,996.65","20,365.80","","-1.76%"
"24-10-2024","20,932.75","20,987.40","21,074.75","20,884.15","","-0.25%"
"23-10-2024","20,985.25","20,846.30","21,162.35","20,655.85","","0.51%"
"22-10-2024","20,879.45","21,436.75","21,468.90","20,850.45","","-2.57%"
"21-10-2024","21,429.90","21,807.50","21,869.50","21,406.20","","-1.50%"
"18-10-2024","21,755.65","21,625.75","21,785.35","21,384.00","","0.17%"
"17-10-2024","21,718.50","22,116.05","22,123.25","21,702.20","","-1.66%"
"16-10-2024","22,085.10","22,103.40","22,151.05","21,979.30","","-0.20%"
"15-10-2024","22,128.65","22,136.15","22,146.15","22,020.00","","0.32%"
"14-10-2024","22,058.80","22,029.95","22,072.95","21,920.50","","0.36%"
"11-10-2024","21,979.15","21,917.85","21,994.30","21,851.30","","0.43%"
"10-10-2024","21,885.65","22,037.20","22,087.40","21,850.10","","-0.15%"
"09-10-2024","21,918.30","21,831.80","22,040.00","21,817.70","","1.07%"
"08-10-2024","21,685.65","21,191.00","21,726.40","21,119.45","","1.98%"
"07-10-2024","21,264.50","21,795.95","21,834.25","21,106.05","","-2.05%"
