Company Name,Ticker,NSE Symbol,Market Cap,Relative Momentum,Absolute Momentum,Dual Momentum
ABB India Ltd.,ABB.NS,NSE:ABB,Large Cap,-29.3787,0.7602,-14.3092
Adani Power Ltd.,ADANIPOWER.NS,NSE:ADANIPOWER,Large Cap,-48.7011,0.6025,-24.0493
Aditya Birla Real Estate Ltd.,ABREL.NS,NSE:ABREL,Small Cap,0.7797,1.2073,0.9935
Amara Raja Energy & Mobility Ltd.,ARE&M.NS,NSE:ARE&M,Small Cap,0.1182,1.0314,0.5748
Apar Industries Ltd.,APARINDS.NS,NSE:APARINDS,Small Cap,0.4075,1.1084,0.758
Aurobindo Pharma Ltd.,AUROPHARMA.NS,NSE:AUROPHARMA,Mid Cap,0.4316,1.0065,0.719
BSE Ltd.,BSE.NS,NSE:BSE,Mid Cap,49.5005,1.7475,25.624
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,NSE:BAJAJ-AUTO,Large Cap,3.3908,1.0277,2.2092
Bharat Dynamics Ltd.,BDL.NS,NSE:BDL,Mid Cap,-27.2183,0.589,-13.3147
Bharat Electronics Ltd.,BEL.NS,NSE:BEL,Large Cap,-15.3192,0.875,-7.2221
Bharat Heavy Electricals Ltd.,BHEL.NS,NSE:BHEL,Large Cap,-34.8472,0.7155,-17.0659
Central Depository Services (India) Ltd.,CDSL.NS,NSE:CDSL,Small Cap,1.5306,1.407,1.4688
Cochin Shipyard Ltd.,COCHINSHIP.NS,NSE:COCHINSHIP,Mid Cap,-23.3569,0.6473,-11.3548
Colgate Palmolive (India) Ltd.,COLPAL.NS,NSE:COLPAL,Mid Cap,2.0774,1.0314,1.5544
Cummins India Ltd.,CUMMINSIND.NS,NSE:CUMMINSIND,Mid Cap,-6.1002,0.9079,-2.5962
Dixon Technologies (India) Ltd.,DIXON.NS,NSE:DIXON,Mid Cap,33.0305,1.4988,17.2647
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,NSE:GLENMARK,Small Cap,0.9966,1.265,1.1308
Hindustan Aeronautics Ltd.,HAL.NS,NSE:HAL,Large Cap,-27.5175,0.7754,-13.371
Hindustan Copper Ltd.,HINDCOPPER.NS,NSE:HINDCOPPER,Small Cap,-1.0693,0.7157,-0.1768
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,NSE:HINDPETRO,Mid Cap,-1.7538,0.9735,-0.3901
Hitachi Energy India Ltd.,POWERINDIA.NS,NSE:POWERINDIA,Mid Cap,1.755,1.0265,1.3907
Housing & Urban Development Corporation Ltd.,HUDCO.NS,NSE:HUDCO,Mid Cap,-18.7543,0.7168,-9.0188
Indian Railway Finance Corporation Ltd.,IRFC.NS,NSE:IRFC,Large Cap,-32.0052,0.7387,-15.6333
Indus Towers Ltd.,INDUSTOWER.NS,NSE:INDUSTOWER,Mid Cap,-7.4321,0.8878,-3.2721
Inox Wind Ltd.,INOXWIND.NS,NSE:INOXWIND,Small Cap,0.8711,1.2316,1.0514
Jindal Stainless Ltd.,JSL.NS,NSE:JSL,Mid Cap,-9.276,0.8599,-4.2081
