Company Name,Ticker,NSE Symbol,Market Cap
ABB India Ltd.,ABB.NS,NSE:ABB,Large Cap
Adani Energy Solutions Ltd.,ADANIENSOL.NS,NSE:ADANIENSOL,Large Cap
Adani Enterprises Ltd.,ADANIENT.NS,NSE:ADANIENT,Large Cap
Adani Green Energy Ltd.,ADANIGREEN.NS,NSE:ADANIGREEN,Large Cap
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,NSE:ADANIPORTS,Large Cap
Adani Power Ltd.,ADANIPOWER.NS,NSE:ADANIPOWER,Large Cap
Adani Total Gas Ltd.,ATGL.NS,NSE:ATGL,Large Cap
Ambuja Cements Ltd.,AMBUJACEM.NS,NSE:AMBUJACEM,Large Cap
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,NSE:APOLLOHOSP,Large Cap
Asian Paints Ltd.,ASIANPAINT.NS,NSE:ASIANPAINT,Large Cap
Avenue Supermarts Ltd.,DMART.NS,NSE:DMART,Large Cap
Axis Bank Ltd.,AXISBANK.NS,NSE:AXISBANK,Large Cap
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,NSE:BAJAJ-AUTO,Large Cap
Bajaj Finance Ltd.,BAJFINANCE.NS,NSE:BAJFINANCE,Large Cap
Bajaj Finserv Ltd.,BAJAJFINSV.NS,NSE:BAJAJFINSV,Large Cap
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,NSE:BAJAJHLDNG,Large Cap
Bank of Baroda,BANKBARODA.NS,NSE:BANKBARODA,Large Cap
Bharat Electronics Ltd.,BEL.NS,NSE:BEL,Large Cap
Bharat Heavy Electricals Ltd.,BHEL.NS,NSE:BHEL,Large Cap
Bharat Petroleum Corporation Ltd.,BPCL.NS,NSE:BPCL,Large Cap
Bharti Airtel Ltd.,BHARTIARTL.NS,NSE:BHARTIARTL,Large Cap
Bosch Ltd.,BOSCHLTD.NS,NSE:BOSCHLTD,Large Cap
Britannia Industries Ltd.,BRITANNIA.NS,NSE:BRITANNIA,Large Cap
Canara Bank,CANBK.NS,NSE:CANBK,Large Cap
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS,NSE:CHOLAFIN,Large Cap
Cipla Ltd.,CIPLA.NS,NSE:CIPLA,Large Cap
Coal India Ltd.,COALINDIA.NS,NSE:COALINDIA,Large Cap
DLF Ltd.,DLF.NS,NSE:DLF,Large Cap
Dabur India Ltd.,DABUR.NS,NSE:DABUR,Large Cap
Divi's Laboratories Ltd.,DIVISLAB.NS,NSE:DIVISLAB,Large Cap
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,NSE:DRREDDY,Large Cap
Eicher Motors Ltd.,EICHERMOT.NS,NSE:EICHERMOT,Large Cap
GAIL (India) Ltd.,GAIL.NS,NSE:GAIL,Large Cap
Godrej Consumer Products Ltd.,GODREJCP.NS,NSE:GODREJCP,Large Cap
Grasim Industries Ltd.,GRASIM.NS,NSE:GRASIM,Large Cap
HCL Technologies Ltd.,HCLTECH.NS,NSE:HCLTECH,Large Cap
HDFC Bank Ltd.,HDFCBANK.NS,NSE:HDFCBANK,Large Cap
